context,question,answer
"Last Aug 5 I mentioned we were in for a big action& expected it might lead to a general advance allroundWe waited for 3 days hourly expecting to be sent totake up a position on San Barr (or Gun Ridge) about1 1/2 to 2 miles ahead.  The chief objective was Hill 971(the Mt Lofty of the whole hill system here) If wecould get & hold that, we hoped to be in a dominatingposition as far as operations here were concernedFrom various indications we knew there was abig move being made elsewhere - for our Navaldept.  had been particularly busy, and ourgullies terraced & manned by many reserve troopsnot Australians.  One certain day these reservesas we thought them were moved right round to theleft so that on Aug.  6th we had an army landingat Suvla Bay, & many fresh men on our left",What is this about?,Last Aug 5 I mentioned we were in for a big action& expected it might lead to a general advance allroundWe waited for 3 days hourly expecting to be sent totake up a position on San Barr (or Gun Ridge) about1 1/2 to 2 miles ahead
Dear Dad & MotherJust recd.  a parcel from you- cake & asplendid muffler.  The cake we will have for suppertonight - it looks very good.  Everybody admiredthe muffler - it is so beautifully warm & thick - & itlooks very nice.  Its length will enable me to useit as a chest warmer too - it is a real beauty - & thank you very much for it,What is this about?,Dear Dad & MotherJust recd
"Note We are near Armentires.  new unitsN Flanders. Dear Father & Mother,-We have just recd.  portion of a maila letter from Mum while at Inglewood, am glad to knowHarry & Mum had a good time at Houghton - but sorrythat Dad wasn't able to be there tooNo news from here - except we're in""close support"" - less than a mile from the firing line& have met most of my old chums in the 10th - especiallyold Jack Hamilton who in Gallipoli was like a big brotherto me.  He is one of the best - & hope he gets through O",What is this about?,Note We are near Armentires
"14.  8.  1918.  My dear mother,I was indeed grieved to hear that you hadagain received no letters from you me.  In your letter of June15th you seemed so despondent about it, I felt quite sad& would have cabled but am sure you must have received myletters since that time as it is nearly two months ago & some ofmy letters which should have reached you then were addressedto Harry & some to the boarding house at North Sydney &some to your new home, but first of all to Greja beforeyou changed the name",What is this about?,14
"4 Avenue MarceauNovember 22, 1917,Dear General Birdwood,My husband writesabout the honourwhich has just beenconferred upon youI am so glad andhave come to congratulateyou!Are you not comingto Paris soon, Iwould so like tosee you again,that evening atLa Motte au Boispassed by so quickly,do let me knowif you come -My husband isalways at Casselbut doesn't knowif he will bethere long, allthe others havinggone to Italy -It was a pleasureto read the papersthis morning, itdid ones heart goodthe British aredistinguishingthemselves everywhere I hope you areat rest for awhileas we say in French""Chacun son tour"",I wonder if youare near Amiensor Abbeville, as Isometimes go toeither of those places. Let me tell youagain, dear GeneralBirdwood, how glad I amyou received the recompensefor your merits andbelieve meyours very sincerely,C'tessa Gabriel de Muny",What is this about?,"4 Avenue MarceauNovember 22, 1917,Dear General Birdwood,My husband writesabout the honourwhich has just beenconferred upon youI am so glad andhave come to congratulateyou!Are you not comingto Paris soon, Iwould so like tosee you again,that evening atLa Motte au Boispassed by so quickly,do let me knowif you come -My husband isalways at Casselbut doesn't knowif he will bethere long, allthe others havinggone to Italy -It was a pleasureto read the papersthis morning, itdid ones heart goodthe British aredistinguishingthemselves everywhere I hope you areat rest for awhileas we say in French""Chacun son tour"",I wonder if youare near Amiensor Abbeville, as Isometimes go toeither of those places"
"Thu.  May 23, 1918 Weather: Fair, Warm Health: Good Up at 6:00.  Another event in the life of a soldier has come to life and I have gone my way as prescribed in the IOR without mishap.  I have slept in a tent and still survive.  Only the back of my neck was a trifle cold",What is this about?,Thu
"Thu.  May 9, 1918 Weather: Fair, Mild Health: Good Up late.  Almost miss breakfast.  No time to wash.  Bacon, bread, coffee",What is this about?,Thu
"March 29, 1918 Nothing doing all day.  Had a nice duck dinner and lots of champagne.",What is this about?,"March 29, 1918 Nothing doing all day"
8. 5. 1917. My dear Birdie. Neill went up to explainhow things stand this morning,What is this about?,8
"Thursday6 December 1917Dear General,Many thanks for yourextremely kind letter which I shall guminto my diary! - I can assure you it was areal pleasure to do anything for your comfortand I only hope that when you are overagain you will - if it is possible (which Iknow may not be the case) - give me alittle notice so that we can do better for you :- On Mr Longs behalf I wentdown to receive you at Charing Cross onthe Sunday but I found you had arrivedunexpectedly earlier in the day :-I can understand your mens devotionfor you when I, a middle aged politicianfell under your spell on that (to me)memorable Monday the 12 March lastat Hennencourt ChateauYours Ever,William Bull.  To:General Sir William Birdwood",What is this about?,"Thursday6 December 1917Dear General,Many thanks for yourextremely kind letter which I shall guminto my diary! - I can assure you it was areal pleasure to do anything for your comfortand I only hope that when you are overagain you will - if it is possible (which Iknow may not be the case) - give me alittle notice so that we can do better for you :- On Mr Longs behalf I wentdown to receive you at Charing Cross onthe Sunday but I found you had arrivedunexpectedly earlier in the day :-I can understand your mens devotionfor you when I, a middle aged politicianfell under your spell on that (to me)memorable Monday the 12 March lastat Hennencourt ChateauYours Ever,William Bull"
"Mon.  Jul.  15, 1918 Weather: Fair, Warm Health: Fair Up at 8:00 with a problem on my hands.  How was I to avoid being put to work with prisoners.  There is an air of quiet and thoughtfulness about the men",What is this about?,Mon
"31. 3. 1917My dear mother,Events have for some time past been somixed up that I hardly know when I last wrote toyou but fancy it is only about a week ago, though thelast week has seemed ages as we have had rather arough time.  I think I last wrote when we were going or hadjust gone on a reconnaissance in force out into Palestine& had seen the old city of Gaza in the distance.  Well a dayor two afterwards we moved but again bivouaced in theopen that night & next morning there was quite alarge sized battle",What is this about?,31
"06.  09.  1916. My dear mother,Your welcome letter of July 19thcame to hand this morning - I think it wasa straggler from the last mail as I receivedone from you only a few days ago.  I amvery pleased indeed that you receivedthe vases & like them - I think itwould be very much better if youkept the pair yourself - I wanted youto have them, then everyone would be fixedup Also Linda would have a pair & Aliceanother & Mab the tray which Ihope she will like",What is this about?,06
"My dear Mother, You will see I am still at this dept, and my stay has been much longer than I expected.  I have not had any letters from home since I last wrote - 14th July, the latest.  There should be more letters shortly.  The weather is still wet and stormy, as one must expect at the time of an equinox.  We have started the football season already, and played a match against the 1st",What is this about?,"My dear Mother, You will see I am still at this dept, and my stay has been much longer than I expected"
"Mon.  Mar.  25, 1918 Weather: clear, mild Health: good Up at 6:00.  Reveille.  Breakfast",What is this about?,Mon
"Sir, I have the honour to forward to Your Excellency herewith copies of two despatches which I have addressed to Mr.  D.  Petrie relative to Indian seditionary propaganda in Japan.  I have the honour to call Your Excellencys attention in particular to the Reports by Agent P.  which confirm the opinion which I have already expressed on several occasions, that the activities of Indian seditionary agents in this country have succeeded in enlisting a very large number of adherents to their cause from amongst Japanese of widely different classes",What is this about?,"Sir, I have the honour to forward to Your Excellency herewith copies of two despatches which I have addressed to Mr"
"I had a day in Cairo last week end - only had a shortnotice so I jumped at my last chance.  Visited the zoo& the Barrage - took some snaps which I hope develop O. K. I motored to the Barrage with Rumball, Gove & Hogarth -& the trip of 30 mls only cost me 10/- The black dust ofthe earth road to the Delta was rather trying - but the B. made up for the discomfort",What is this about?,I had a day in Cairo last week end - only had a shortnotice so I jumped at my last chance
"This message has been received subject to the Post and Telegraph Act and Regulations . All complaints to be addressed in writing to the Deputy Postmaster-General STATION FROM.  NO.  OF WORDS, AND CHECK.  REMARKSVictoria Barracks 69 5/5 12 40 RP",What is this about?,This message has been received subject to the Post and Telegraph Act and Regulations
"Tue.  Jan.  15, 1918 Weather: raining, snowing, windy Health: good Up at 6:00 to find a half inch of snow on ground and falling snow wet and penetrating because blown by wind.  Reveille.  Inspection of quarters by Lieut",What is this about?,Tue
"Sun.  May 5, 1918 Weather: Raining, Mild Health: Good Up at 7:00.  Breakfast in rain.  Bacon, bread, coffee.  Back to billets",What is this about?,Sun
"Thurs.  Jun.  6, 1918 Weather: Fair, Warm Health: Good On hike.  .",What is this about?,Thurs
"Sun.  Jul.  14, 1918 Weather: Fair, warm Health: Fair Up at 8:00.  Have breakfast.  Rice, bacon, bread, coffee",What is this about?,Sun
"Military song Tell Jack Tilton that JackHeywood has grown a beard& looks like & Prehistoric Man(it is on account of a skin complaintBraithwaite has grown amoustache & looks a lad. I am writing this after stuffbecause I haven't got an envelopeTell Miss Taylor that I amin the best of health & hope sheis the same. Tell Mabel that I haven'tseen a pretty girl since leavingMelbourne. I haven't had a slice ofToast & will not know thetaste of it soonPlease don't worry about my nothaving clean clothes, for I have plenty. Also, I have any amount of money& if you want any, please let meknow",What is this about?,Military song Tell Jack Tilton that JackHeywood has grown a beard& looks like & Prehistoric Man(it is on account of a skin complaintBraithwaite has grown amoustache & looks a lad
"5 February 1916Stationed at Tel - El - Kibir. My dear Father,I have not heard fromyou, for quite a long time; I had aletter from Aunty the other day sayingyou had the offer of a post, as bailiff underSir Francis Burdett, but she did not saywhether you had accepted it or not. We had a photograph of the whole batalliontaken the other day; if they turn out alrightwill send you one on. We are not having a bad time of it herenow, they have knocked off the afternoon drill,we go out from eight o'clock to about halfpast twelve, & then we have finished forthey day. I told you in my last letter thatJim Watts was in our Batallion, he joinedus with the 9th reinforcements; I have notyet heard what batallion Rupert has joined up with",What is this about?,5 February 1916Stationed at Tel - El - Kibir
"14th April, 1917My Dear BirdieThank you very much for theaccount of the attack.  I thinkthe Brigades did splendidly & themen were magnificent I am verygrieved about their losses & I hopethey are not too depressed & upset. When he goes goes into the wholestory, it seems fairly clear thatHolmes would have saved a greatmany lives & gained at the sametime an enormous success, if he had promptly & resolutely pushedon his Reserves.  He had 5Battalions I think unemployed_if 4 of these (a Brigade) hadgone xx on within 30 minutesof the attack starting straighton to Riencourt & even HendecourtI think he would be there now!It is an old lesson, but itrequires a soldier & it is notpossible to turn civilians into trained commanders in a fewmonths,- the wonder is that theyhave picked up so much & doneas well as they have!I saw Sir D.  H",What is this about?,"14th April, 1917My Dear BirdieThank you very much for theaccount of the attack"
"April 14, 1915.  My Dear EileenSince writing last week an AustralianMail has come to hand.  I received your letter of March 11. I am so sorry you didn't receive any letters for 3 weeksI posted one each week.  I had a letter from Campbell &Jack O'Connell by the same mail",What is this about?,"April 14, 1915"
"9th Light Horse Regiment,Anzac,November 22nd 1915My dear mother,No mail has reached me since last week exceptone of the parcels sent from Egypt containing chicken broth (which I had ordered) Ifear that we will miss a mail as we have been informed that alarge number of mail bags were lost in a boat which was sunkby a submarine - very bad luck for us.  Since writing you theweather has become bitterly cold & we have been glad to puton warmer attire one item of which is sheepskin jackets madefrom the whole hide of a sheep & which were a present tothe regiment & they do look funny with the hide worn outside &the fur inside & fashioned as a jacket for the upper partof the body.  It is too unpleasant sitting round at night inthe cold so we retire to our dugouts & I get into bed, whichconsists of a stretcher with a soft mattress from my sleepingbag on top of it & on this I have two blankets sewn togetherso as to form a bag & I slip into this put another blanketor two on top & then in order to read & keep my upperbody warm put on my cardigan & sheepskin & I'mas snug as a bug in a rug.  I have managed toobtain a lamp now so am quite well able to read. I am still in my old dug out with the New Zealanderalso as he has been unable to obtain anything to coverhis place with, when I remove my tarpaulin to mynew dressing station so I am remaining here until he gets what he wants as we could hardlygo & leave him without a roof to his head",What is this about?,"9th Light Horse Regiment,Anzac,November 22nd 1915My dear mother,No mail has reached me since last week exceptone of the parcels sent from Egypt containing chicken broth (which I had ordered) Ifear that we will miss a mail as we have been informed that alarge number of mail bags were lost in a boat which was sunkby a submarine - very bad luck for us"
"Sunday 14th FebDearest Mother & all at HomeI nearly missed writingthis week as I have had a slight touch of Influenzawhich has been very prevalent here lately.  I waspermitted to stay in bed for 3 days, by the Dr & I amglad to say that I am quite alright again.  Braith-waite, too, has been down with pain the the stomachcaused by food poisoning & the Dr had to come down& put hot fomentations on his bingy, but he isalright again, too.  There is not much new news Ican tell you as it is beginning to get monotonous here& we shall be glad to leave for the Front soonLast Sunday, we rode out to Sakkara Tombswhere the Sacred Bulls & other great treasuredmummies are preserved.  The Tombs are about of a mile long & every now & then there is abig vault of granite carved out for the bodyof a sacred bull & other sacred creatures",What is this about?,Sunday 14th FebDearest Mother & all at HomeI nearly missed writingthis week as I have had a slight touch of Influenzawhich has been very prevalent here lately
"Dear Bertie, Thank you and the other gents very much for the cigarettes which I received yesterday on coming out from the line.  We have been having exciting times lately.  Our division took a big part in this new advance on the Ancre.  In fact, it was our Brigade that captured Beaumont Hamel, and after two days hand fighting the ridge beyond the village.  We went over before day break on the 13thNovember and from there till the evening of 14thwe were properly in the midst of it",What is this about?,"Dear Bertie, Thank you and the other gents very much for the cigarettes which I received yesterday on coming out from the line"
"Mon.  Dec.  31, 1917 Weather: coldest day of the year Health: my cold is a little worse Up at 8:00 but doze and talk and lie in bed until nearly 11.  Aaron calls up to say that Tom and Abe have not come to work and that Marshall wants to go home, he too being so cold that he sits on radiator.  This frightens and disappoints Leah and me greatly",What is this about?,Mon
"The First World War was a conflict like no other, unprecedented in the history of warfare to that point.  From 1914 to 1918, Europes largest empires fought a new kind of war with modern weapons, masses of troops and huge death tolls.  There were many, many important battles, big and small, during the Great War, but this is the information on the first world war top 10 battles.  So here are the top 10 most important battles of the First World War.  This is in no particular order or rank",What is this about?,"The First World War was a conflict like no other, unprecedented in the history of warfare to that point"
"Dear Mother and Father, Perhaps you will be surprised to find me here so soon, but here we are like so many tourists after having ""done"" Egypt in style.  We reached the French coast safely and travelled for three days by train to our present situation.  The first day was a perfect spring day and we passed through very fertile country.  The scenery was beautiful and it felt good to be alive and well.  The second day was very cold and we passed through a hail and snow storm in the mountainous country",What is this about?,"Dear Mother and Father, Perhaps you will be surprised to find me here so soon, but here we are like so many tourists after having ""done"" Egypt in style"
"Mon.  Jul.  22, 1918 Weather: Fair, warm Health: Good Hike to . .",What is this about?,Mon
"We're still here - told will be ""off to France in a few days"" but I truly believe we are the Australian Israelites.  Nearly 5 months now we've been training in the desert - always the word is being passed ""off to France"".  We are the A. I.  looking for the Promised Land in the fertile plains of the sun-baked Sinai Desert",What is this about?,"We're still here - told will be ""off to France in a few days"" but I truly believe we are the Australian Israelites"
"13. 6. 1918 My dear motherAnother mail has arrived & two moreletters from you.  I was sorry to hear that you were notgoing to Lismore as I'm sure you would have enjoyedit, but I can imagine how anxious you are to getinto your new home & I'm sure you will like LindfieldWhat excitement there has been over War Loans& how well people have subscribed.  Of course,the Interest given is good too",What is this about?,13
"28.  11.  1916My dear mother,I am afraid, that it is more than a weeksince I last wrote you as we have changed our diggingssince then & have consequently been upset in our arrangements. The powers that be evidently considered that we had hadsufficient rest & sent us off again last Thursdaymorning.  I cannot tell you the exact stages of the journeyor the mileage we travelled but think I may safely saythat we went over the same ground we formerly held& pushed on to where our front line now is",What is this about?,28
"Sat.  Dec.  22, 1917 Weather: fair, windy Up at 6:00.  Reveille 6:15.  Breakfast, steak, oatmeal, bread, coffee",What is this about?,Sat
"Tue.  Jun.  18, 1918 Weather: Fine, Warm Health: Good Hike 17 kilometres to . .",What is this about?,Tue
9th L. H.  Regiment. 26. 4,What is this about?,9th L
"My dearest Mother & Father, Today i have received your letters of 30/9,16/10 and 27/10, thanks to having themsent to Fred Juergens, and althoughI am always awaiting them andlook forward to them from mail tomail, at present I almost dread toopen them for the fear of having somebad news.  I know too well what a fearful shockyou have received, and that it hascome as a climax to several yearsof almost continual worry.  It is toomuch to expect a mother or fathernot to grieve, but I sincerely hopeyou will bear up against this strokeof adversity and say as I haveheard many French Mothers mutterwhen several sons had fallen""mort an champ d'honneur"" ""C'estla Guerre, c'est la guerre"".  It isenough to know Les lives in heavenas surely there is such a placeof God's creation.  I am sorry to say I have not yet any immediate prospect ofleaving for home",What is this about?,"My dearest Mother & Father, Today i have received your letters of 30/9,16/10 and 27/10, thanks to having themsent to Fred Juergens, and althoughI am always awaiting them andlook forward to them from mail tomail, at present I almost dread toopen them for the fear of having somebad news"
"Lemnos24th September 1915Dearest Mother & all at home,Just a few lines tolet you know that I am enjoying a fortnightsholiday here at present, & I can tell you I ambeginning to feel something like my old selfagain, thank goodness, for I was feeling thatrun down, that I had to decline promotion to therank of Sergeant Major in the Ammunition Column, asI felt so crook, but I am feeling grand again now& improving every day.  We had a little difficulty ingetting here & had to wade across portion of the bay inorder to reach the rest camp, so what with being24 hours without anything to eat, and having our kits tocarry & a good way to walk, we were pretty well goodfor nothing when we got here, but we have been treatedsplendidly ever since, & good"" tucker"", & no drill, exceptan hours marching in the morning, then we are offfor the rest of the day, & go off to the differentGreek Villages & visit the warships, etc etc & as theweather is fine, you can see we are thoroughlyenjoying ourselves.  The Greeks are peculiar peoplebeing content to live a quiet life, in houses built of unshaped stones or mud bricks.  Theyare a clean healthy living people & very quiet,but appear to have no ambition to improvetheir mode of living, or get on in any way. The women folk are always spinning cotton &such like, dat as their domestic duties don't take1/2 an hour a day & the men seem to have aneasy life",What is this about?,"Lemnos24th September 1915Dearest Mother & all at home,Just a few lines tolet you know that I am enjoying a fortnightsholiday here at present, & I can tell you I ambeginning to feel something like my old selfagain, thank goodness, for I was feeling thatrun down, that I had to decline promotion to therank of Sergeant Major in the Ammunition Column, asI felt so crook, but I am feeling grand again now& improving every day"
"World War I The 1914 election and the declaration of war The 1914 election was announced on 26 June 1914a double dissolution election to be held on 5 September 1914.  Parliament was prorogued on 27 June, the day before the assassination of Archduke Ferdinand and dissolved on 30 July.  Both parties had already formally launched their election campaigns before war broke outLabor on 6 July and the Liberals on 15 July.  The election campaign focussed on domestic issues with neither Prime Minister Joseph Cook nor Opposition Leader Andrew Fisher mentioning the events in Europe until the end of July.  Both leaders campaigned on much the same issues they had campaigned on at the 1913 election",What is this about?,World War I The 1914 election and the declaration of war The 1914 election was announced on 26 June 1914a double dissolution election to be held on 5 September 1914
H. M. S.  Lord Nelson. Salonika,What is this about?,H
"Dear Sir, I expect you wonder what has become of me as you have not heard from me for such a long time.  The reason is that since the 20thSeptember I have been suffering with enteric (typhoid).  The exact diagnosis of my case being para typhoid B.  I have not been up three weeks until next Friday, but since I first got out of bed I have made splendid progress.  I was in an isolation hospital in France for six weeks and previous to that in a General Hospital for eight days",What is this about?,"Dear Sir, I expect you wonder what has become of me as you have not heard from me for such a long time"
A Februaryedition of Lifecame to hand a fewdays ago - very welcomeout here as reading matter is scarce. 9th L. H.  Regt29. 3,What is this about?,A Februaryedition of Lifecame to hand a fewdays ago - very welcomeout here as reading matter is scarce
"2. 3. 1917. My dear mother,Your letter following the Battle ofRafa arrived safely this week & so Jack hasbeen & gone & is now soon to come along to Egypt. He will first of all go to Moasca near Ismailiawhich you have heard me mention before & thengo along to his Regiment when reinforcementsare required",What is this about?,2
"DEAR Madam,I have to acknowledge receipt of your communication of 16th inst. ,and enclose herewith, as requested, certificates of reports of death of the lateNo.  3003 Private R.  B.  Allen, 13th Battalion, and No",What is this about?,"DEAR Madam,I have to acknowledge receipt of your communication of 16th inst"
"Sir,I have the honor to submit herewith my report of the landingof the Australian and New Zealand Army Corps on the GallipoliPeninsula on 25th April, and the operations up to date.  I also attacha report by Major-General W.  T.  Bridges, C. M",What is this about?,"Sir,I have the honor to submit herewith my report of the landingof the Australian and New Zealand Army Corps on the GallipoliPeninsula on 25th April, and the operations up to date"
"17.  7.  1916. My dear mother,Another mail has arrived & thistime it was a beauty bringing me those twomissing letters of yours, one from Em & Alice,Jack, Mrs Job & Cedric largl written aboutthe same date, & following these two more lettersfrom you one from Wesly who is convalescingat Rase-el-Tin Hospital at Alexandria &one from another medico Parry & two Life's. I was delighted to find in your later lettersthat you were convalescent & feeling fit &do hope that you will continue so",What is this about?,17
"Dearest Mother & all at Home. Just a line to let you knowthat I received several more letters of earlier dates & Ithink that I have received the lot now.  Your latestletters told me of news of poor old ""Binnso"" having Diptheria. I can't imagine how he developed this horrible complaintunless he contracted it from some kiddie at school. I think your decision of sending him to Fairfield awise one, as there can be no doubt that the place is amuch improved one since the Institution came in forsuch a scathing criticism both in Parliament & inthe Papers",What is this about?,Dearest Mother & all at Home
"Zeitoun,August 19th, 1915. My dear mother,I was a little lazythis week & did not write my letter early& then found that the mail went earlierthan I anticipated & missed it,which has annoyed me very much as youwill have a long gap with no letter &get anxious.  I have now been here onemonth or more & have not yet receiveda single letter, although some of thefellows have received several by differentmails.  Postal arrangements here arevile as far as I can see, & stronglanguage might be used about them- I know you have written & hopethat you are addressing correctlyto No I Australian General HospitalHelipolis.  Egypt",What is this about?,"Zeitoun,August 19th, 1915"
"My Dear Bertie I am pleased to say I am still in the same job and getting to understand the run of things.  It is very interesting work, as you would imagine.  It is a real line here, sometimes we are pushed and carry on till the early hours of the morning.  I might say there is no grumbling about tea money, overtime or bonus quotas putting in as much as eighteen hours a day sometimes and it would not do to send deputations to the chief who is also hard at it, in his room; there is a special way of dealing with such in the army.  Of course one never knows how long this may last I may have marching orders to proceed elsewhere any day",What is this about?,My Dear Bertie I am pleased to say I am still in the same job and getting to understand the run of things
"My dearest Mother,I must try & scribble you a fewlines somehow before the mail tonight, but itis writing under rather difficult circumstances,having been under heavy fire for the lastfortnight.  I am writing with a borrowed pencil -using stolen paper - & my very last envelope. When this is gone I shall send cablegramsfortnightly & my Service P. C's.  I am absolutelywell & sound & Tom is also althoughwe have both had our share of excitement& fighting",What is this about?,"My dearest Mother,I must try & scribble you a fewlines somehow before the mail tonight, but itis writing under rather difficult circumstances,having been under heavy fire for the lastfortnight"
"Letter from 31st Punjabis,11 December 1915.  From Jan Phuman Singh, 31St Punjabi, attached 47th Sikhs, to a friend in India (Gurmukhi, 1/12/15).  Do not be anxious about me.  For eighteen years I have eaten salt at the hand of our Emperor and now I shall repay him with my loyalty.  Now is my opportunity",What is this about?,"Letter from 31st Punjabis,11 December 1915"
"Sun.  Jul.  28, 1918 Weather: Raining, Cold Health: Good Up at 7:00.  I might have slept on, for there is no breakfast.  There is only bread, syrup, coffee, but the bread is green molded, unfit to eat; therefore the syrup is useless",What is this about?,Sun
"Dear Mr Welsh, A lot has happened since I last wrote to you and we have moved, and moved, and moved again, and still we are moving.  There is nothing at all to say about the actual coming off.  We were told to pack up, and having done so, were marched off and soon afterwards were making up a four for Bridge in quite a comfortable cabin and enjoying the unwanted luxury of electric light.  The only thing that struck one in coming away was that nothing had altered and it might easily have been the night I landed.  The same old beach apparently full up with boxes of bully beef, tinned milk and jam, the same old destroyer, with its search light playing on the shore, keeping up its systematic bombardment and the same old swish of bullets around and dropping into the water",What is this about?,"Dear Mr Welsh, A lot has happened since I last wrote to you and we have moved, and moved, and moved again, and still we are moving"
"Dearest Mother & Father, You will see by this that I am on furlough and seeing a bit of England.  Ihave 14 days leave and am on my second day now.  I report back to Perham Downs Camp, Salisbury Plains, on Oct.  2nd.  Norman Spense is at Larkhill about 6 miles from this camp",What is this about?,"Dearest Mother & Father, You will see by this that I am on furlough and seeing a bit of England"
"Sun.  Dec.  23, 1917 Weather: fair, cold Health: sore throat, eyes, and nose Up at 6:45.  Roll call.  Breakfast, orange, pettijohns, hash, coffee",What is this about?,Sun
"Sat.  Dec.  15, 1917 Weather: fair, cold Up at 5:30.  Reveille 5:45.  Breakfast 6:00",What is this about?,Sat
Tuesday 20th April 1915After no sleep - men also out all night - grantedGeneralLeave - got up at 6.  A. M.  Immediately get to workto get ready to move.  After a bit of bother - prisoneretc got out of camp at 1 pm with all except threedeserters - Everett- Nelson & McVea - march out ofcamp- most enthusiastic - had to force way out -cheers from all,What is this about?,Tuesday 20th April 1915After no sleep - men also out all night - grantedGeneralLeave - got up at 6
"Sent to Harry. 24. 1. 1918My dear mother,I have just sent off to you aregistered packet of photos which I hope youwill receive safely.  I went through my papers &collected all the oddments which had beenlodging there for some time past & just prior tosending these away the photos I had taken ofthe recent Palestine operations came along &I sent them also",What is this about?,Sent to Harry
"15.  9.  1916. My dear mother,Your The wattle blossoms enclosed inyour letter of 4th August arrived in good conditionyesterday bringing quite an Australian touch intothe atmosphere, & was glad to hear that fatherwas improving though slowly & that you yourselfwere recovering from the heavy tax on yourown resources.  It is a pity that you could nothave arranged to have extra help to do the workso that you could have had Em & Alice withyou for a while as it would have been pleasantfor you all & good for you too if the necessaryassistance could have been obtained, butwithout that of course impossible",What is this about?,15
"This is the first ever official photograph taken of a tank going into action.  It shows a British Mark I tank at the Battle of Flers-Courcelette on the 15th of September 1916.  In another photo taken on the same day we see another tank.  Both of these were hot, noisy, slow and very unreliable.  But they were both revolutionary for their time, the start of a long line of development that would change the face of warfare forever",What is this about?,This is the first ever official photograph taken of a tank going into action
Bhurtpore HouseTidworthHants7th February 1917My Dear GeneralI have yourletter to hand advisingme of the C-wealthGovts.  proposal to appointMcCay as my successor. & I need hardly say ithas come as a verygreat disappointment &if carried into effectwill do me a greatinjustice.  I appreciateindeed your letter and reputation of individualsThe raiding all along the linehas been good has it not?I hope your fellows are keepingfit & not getting pneumoniaor pleurisy or any chest orlung trouble.  I will come& see you on your return ifyou will let me & shallhope to find you quite fit,What is this about?,Bhurtpore HouseTidworthHants7th February 1917My Dear GeneralI have yourletter to hand advisingme of the C-wealthGovts
"Dearest Mother & Father, In case you do not get my diary, which I am posting at Fremantle to avoid censorship, I am sending you these few lines.  I am enjoying the trip pretty well so far and the weather has been good on the whole.  I am sure of getting ashore at Fremantle as I have been chosen for a Military Patrol to remain ashore after the others are due back and pick up the stragglers.  A day on shore will break the monotony of the boat which is sure to increase, as we have 3 or 4 more weeks to go yet.  I have not seen a paper since last Monday and feel a bit hungry for war news, but I daresay we will get used to it",What is this about?,"Dearest Mother & Father, In case you do not get my diary, which I am posting at Fremantle to avoid censorship, I am sending you these few lines"
"MISSION BELGEDcember 8th 1917. GRAND QUARTIER GNRALBRITANNIQUEMy dear General,I am delighted to inform youthat His Majesty has been pleased toconfer on you the Belgian Croix de Guerre;will you kindly accept my bestand sincerest congratulations : noSoldier deserves more than yousuch an honour. I hope that you had a good restduring your stay in England ; Iread in the Court Circular that youhad the honour of being received byyour King. You know that we are now again atMontreuil and neighbourhood (My missionis billeted in Neuville sous Montreuil).  Thedistance from my Headquarters to Fletre is unfortunately now muchlonger - but I hope however to beable to go and see you",What is this about?,MISSION BELGEDcember 8th 1917
"Dear Father & Mother,-We are to do another tour forthe next few days so Ill not be able to write to youfor the next mail.  Not much news at all - exceptIve got word thro from Todd - (on leave in Eng)that the Omrah arrives somewhere about the 1st week inMarch- so I am still hopeful of meeting George- as I get leave immediately on coming out. A Sydney Mail (20. 12. 16) hasthe photos of the break up of Naval College &G",What is this about?,"Dear Father & Mother,-We are to do another tour forthe next few days so Ill not be able to write to youfor the next mail"
"My own darling Jenny Jane. . I have had a lot to do the last few days settling upthings at Anzac before coming over here to Kephalo - on theIsland of Imbros to stay for ten days with Sir Ian - and Imust say it is very nice feeling one hasn't to think ofanything & can be in at absolute peace for the time being-when I say in absolute peace though.  I am wary, as theyrecently started all their air ship sheds etc.  close to whereSir Ian has his",What is this about?,My own darling Jenny Jane
"Fred Jarrett (late of Stats.  Dept) has seen field service in East Africa and ranks as a First Class Warrant Officer.  He left England March 10th1913 with Arthur Shipley of the Goods, who has also seen service with the East African Mounted Rifles.  Both hope to be home on leave in the near future.  (Since receiving this report, Fred has arrived in England on leave) Frederick Jarrett late of the Stats",What is this about?,Fred Jarrett (late of Stats
"April 27, 1918 Little doing all day.  Made a round to wagon lines & batteries.  Fairly quiet on out front.  Letters from Dulcie.",What is this about?,"April 27, 1918 Little doing all day"
"Headquarters,Second Army. January 26th 1917. Dear Birdwood. Very many thanksfor your kind letterof congratulations: itwas very fine of you towrite and I greatlyappreciate yourmessages. I was very sorryindeed not to seeyour name in thelast Gazette",What is this about?,"Headquarters,Second Army"
"9. 7. 17. My dear mother,Your welcome letter of 21st Mayto hand today - comparatively shortly after thelast lot which must have been delayedsomewhere or other.  Very glad to hear that youare well & that you have been having a few visitorsthough it must be very awkward without a maidYour letters must now be increasing in numbers as Jackhas left - I had another note from him inMoasca where he is in isolation, he had not atthat time received my last letter",What is this about?,9
Im no longer O. C.  of A.  as several seniorofficers have returned to the strength.  - so wellhave to wait resignedly for our chances,What is this about?,Im no longer O
